,SNaPs1,SNaPs2,SNaPs3,SNaPs4,ESCs1,ESCs2,ESCs3,ESCs4
ENSG00000012817,0,0,0,0,0,0,0,0
ENSG00000012822,284,430,557,542,141,120,79,107
ENSG00000012963,477,1058,1196,1085,1133,1030,872,807
ENSG00000012983,35,105,111,113,56,46,56,65
ENSG00000013016,16,51,71,83,135,148,82,75
ENSG00000013275,623,875,1000,976,1283,1478,1148,1104
ENSG00000013288,106,104,191,238,53,62,52,55
ENSG00000013293,17,17,17,18,6,14,9,15
ENSG00000013297,120,154,183,157,223,229,197,211
ENSG00000013306,1423,1895,2113,2264,4256,4795,3364,3166
ENSG00000013364,10,22,22,20,24,44,12,16
ENSG00000013374,318,446,500,504,434,449,351,433
ENSG00000013375,362,600,688,699,840,902,768,651
ENSG00000013392,103,185,221,221,145,144,110,109
ENSG00000013441,376,442,733,679,250,295,201,224
ENSG00000013503,125,207,327,248,225,245,228,167
ENSG00000013523,277,581,528,623,851,782,669,569
ENSG00000013561,250,416,518,496,311,372,248,337
ENSG00000013563,50,85,124,110,95,92,61,34
ENSG00000013573,209,404,494,444,831,1187,624,557
ENSG00000013583,300,587,797,770,820,944,594,447
ENSG00000013588,3,9,5,10,13,9,5,4
ENSG00000013619,18,42,50,42,0,3,1,1
ENSG00000013725,0,1,1,1,3,0,0,1
ENSG00000013810,491,1000,1351,1529,1882,2081,1167,746
ENSG00000014123,356,479,577,547,215,260,201,182
ENSG00000014138,476,682,818,772,681,760,577,588
ENSG00000014164,109,224,310,261,324,319,271,144
ENSG00000014216,589,830,916,823,1770,2137,1438,1448
ENSG00000014257,0,3,1,2,27,20,29,32
ENSG00000014641,2520,3063,3566,3633,4971,4908,4940,5571
ENSG00000014824,713,1402,1571,1514,1557,1554,1215,1485
ENSG00000014914,30,37,52,73,15,10,8,11
ENSG00000014919,310,630,666,648,630,641,579,613
ENSG00000015133,122,206,199,276,258,296,176,121
ENSG00000015153,138,196,207,230,11,14,10,13
ENSG00000015171,79,193,240,263,122,103,93,87
ENSG00000015285,0,0,0,1,0,0,2,0
ENSG00000015413,0,12,4,7,59,69,29,21
ENSG00000015475,180,280,372,360,653,793,513,465
ENSG00000015479,2734,7074,8024,8256,6007,6223,4856,4123
ENSG00000015520,0,0,3,2,1,4,0,0
ENSG00000015532,49,107,123,127,163,157,130,96
ENSG00000015568,179,356,452,435,128,238,176,217
ENSG00000015592,68,79,95,101,1,0,0,0
ENSG00000015676,526,897,996,968,916,1087,865,837
ENSG00000016082,15,11,13,13,1,2,0,1
ENSG00000016391,10,19,24,23,81,29,47,30
ENSG00000016402,1,3,0,1,58,48,29,31
ENSG00000016490,0,2,0,0,0,0,0,0
ENSG00000016602,0,0,0,0,0,0,0,1
